"id")","result","Score1","Score2","Frequency1","Frequency2","Amount","Net","LTV","Source","Gender","AgeRange","CustomerType"
"9029","0",76.5998,1.4,7,NA,NA,366,5.97,5,"I","",3
"9030","1",21.573,0,NA,NA,NA,0,11.36,2,"M","18_to_34",2
"9031","0",38.8823,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9032","1",65.2103,5,33,5,5016,724,158.89,5,"M","35_to_49",4
"9033","0",43.7515,0,NA,NA,NA,36,0.57,2,"M","35_to_49",2
"9034","0",39.4818,3,14,NA,NA,730,14.18,5,"M","35_to_49",4
"9035","0",25.8365,6.1,75,1,361,1527,31.09,5,"F","35_to_49",5
"9036","1",1.0932,0,NA,NA,NA,0,0.74,2,"M","18_to_34",2
"9037","1",19.0682,2.8,22,NA,NA,416,7.54,5,"F","35_to_49",3
"9038","0",100,2.3,7,NA,NA,192,22.98,5,"F","35_to_49",3
"9039","1",19.3269,0,NA,NA,NA,1000,25,2,"M","35_to_49",2
"9040","0",29.123,7.5,268,6,2786,1547,144.94,5,"M","35_to_49",5
"9041","0",3.0807,3.1,60,NA,NA,166,2.67,5,"M","18_to_34",4
"9042","1",45.3044,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9043","0",18.8608,0,NA,NA,NA,497,147.57,2,"M","35_to_49",2
"9044","0",64.3227,0,NA,NA,NA,0,1.3,2,"M","35_to_49",2
"9045","0",77.8403,4.8,64,NA,NA,2365,48.03,5,"M","35_to_49",4
"9046","0",30.4575,4.8,109,1,1500,188,19.4,5,"M","35_to_49",4
"9047","1",38.9793,0,NA,NA,NA,0,0,2,"F","60_or_higher",1
"9048","0",48.2892,3,35,NA,NA,3515,63.6,5,"M","35_to_49",4
"9049","0",62.8337,2.2,21,NA,NA,511,8.02,5,"F","35_to_49",3
"9050","0",97.0493,0,NA,NA,NA,7746,44.9,2,"F","35_to_49",2
"9051","0",0.2653,0,NA,NA,NA,0,0,2,"F","",1
"9052","0",59.0683,1.4,4,NA,NA,157,5.02,5,"M","18_to_34",3
"9053","0",21.5967,0,NA,NA,NA,613,14.68,2,"F","18_to_34",2
"9054","1",43.7515,2,10,NA,NA,825,13.45,5,"I","",3
"9055","1",17.423,4.3,85,NA,NA,2069,33.48,5,"F","35_to_49",4
"9056","0",20.8567,3.4,12,NA,NA,320,5.88,5,"M","35_to_49",4
"9057","1",6.2247,0,NA,NA,NA,422,19.19,2,"F","35_to_49",2
"9058","1",40.4194,4.3,99,NA,NA,1096,17.74,5,"M","35_to_49",4
"9059","0",38.8823,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"9060","1",43.7515,2.2,10,NA,NA,1003,16.35,5,"I","",3
"9061","1",20.7653,0,NA,NA,NA,0,0.96,2,"M","35_to_49",2
"9062","1",15.7124,0,NA,NA,NA,30,12.27,2,"M","35_to_49",2
"9063","1",60.5443,2.2,21,NA,NA,1204,19.44,5,"F","60_or_higher",3
"9064","1",15.12,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"9065","1",27.4912,0,NA,NA,NA,641,11.62,2,"M","18_to_34",2
"9066","1",18.9639,7.3,100,31,39549,5301,799.24,5,"M","35_to_49",5
"9067","0",58.6742,0,NA,NA,NA,332,20.38,2,"F","35_to_49",2
"9068","1",19.8861,0,NA,NA,NA,0,89.82,2,"F","35_to_49",2
"9069","1",0.2653,0,NA,NA,NA,35,0.5,2,"F","18_to_34",2
"9070","0",62.4488,4.7,65,1,700,912,31.43,5,"F","35_to_49",4
"9071","0",38.9793,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"9072","1",20.9402,0,NA,NA,NA,302,8.42,2,"M","35_to_49",2
"9073","1",38.9793,0,NA,NA,NA,10,0,2,"I","35_to_49",2
"9074","0",20.1829,3.1,21,NA,NA,167,29.18,5,"F","18_to_34",4
"9075","1",19.9297,0,NA,NA,NA,0,0.07,2,"M","35_to_49",2
"9076","1",0.2653,1.8,6,NA,NA,350,5.99,5,"F","35_to_49",3
"9077","0",40.0312,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"9078","0",72.4438,0,NA,NA,NA,59,137.8,2,"F","35_to_49",2
